seed_defensive_op,extended_defensive_op,source_function,variable,security_sensitive_behavior,defensive_behavior,source_report
kfree,__bnx2_free_irq,bnx2_suspend,bp,"When bnx2_netif_stop is called on bp, it creates a use-after-free risk because bp may still be referenced after the IRQ is freed if not properly managed.",The __bnx2_free_irq is executed after stopping the network interface to prevent use-after-free vulnerabilities by releasing the IRQ resources associated with bp.,packaged LLM pattern reference
kfree,__bpf_prog_free,__get_filter,prog,"When bpf_prog_alloc allocates memory for prog, it creates memory leak risk because failure to free leads to resource exhaustion.",The __bpf_prog_free is executed when copy_from_user fails to prevent memory leaks by releasing prog before function exit.,packaged LLM pattern reference
kfree,__bpf_struct_ops_map_free,bpf_struct_ops_map_alloc,map,"When bpf_map_area_alloc allocates memory for map, it creates memory leak risk because failure to free leads to resource exhaustion.",The __bpf_struct_ops_map_free is executed in error paths to prevent memory leaks by releasing map before function exit.,packaged LLM pattern reference
kfree,__devlink_rel_put,devlink_rel_nested_in_notify_work,rel,"When devlinks_xa_get retrieves devlink, it creates a use-after-free risk because if devlink is not properly released, it may lead to accessing freed memory.",The __devlink_rel_put is executed in the cleanup section to prevent memory leaks by releasing the reference to rel.,packaged LLM pattern reference
kfree,__edac_device_free_ctl_info,edac_device_alloc_ctl_info,dev_ctl,"When kzalloc allocates memory for dev_ctl, it creates memory leak risk because failure to free leads to resource exhaustion if an error occurs later in the function.",The __edac_device_free_ctl_info is executed in error paths to prevent memory leaks by releasing dev_ctl before function exit.,packaged LLM pattern reference
of_node_put,free_overlay_changeset,of_overlay_fdt_apply,ovcs,"When kzalloc allocates memory for ovcs, it creates memory leak risk because failure to free allocated resources in error paths leads to resource exhaustion.",The free_overlay_changeset is executed in error paths (err_free_ovcs label) to prevent memory leaks by releasing ovcs and its associated resources before function exit.,packaged LLM pattern reference
of_node_put,pcibios_free_controller,ppc4xx_probe_pcix_bridge,hose,"When pcibios_alloc_controller allocates memory for hose, it creates memory leak risk because failure to free the allocated controller structure leads to resource exhaustion.",The pcibios_free_controller is executed in the fail: error path to prevent memory leaks by releasing hose when initialization fails before function exit.,packaged LLM pattern reference
of_node_put,pcibios_free_controller,mpc83xx_add_bridge,hose,"When pcibios_alloc_controller allocates memory for hose, it creates memory leak risk because failure to free the allocated controller on error paths leads to resource exhaustion.",The pcibios_free_controller is executed in the err0 error path when mpc83xx_pcie_setup fails to prevent memory leaks by releasing the hose controller before function exit.,packaged LLM pattern reference
of_node_put,pcibios_free_controller,ppc4xx_pciex_port_setup_hose,hose,"When pcibios_alloc_controller allocates memory for hose, it creates memory leak risk because failure to free the allocated controller structure leads to resource exhaustion.",The pcibios_free_controller is executed in the fail: error path to prevent memory leaks by releasing hose when initialization fails.,packaged LLM pattern reference
of_node_put,pcibios_free_controller,fsl_add_bridge,hose,"When pcibios_alloc_controller allocates memory for hose, it creates memory leak risk because failure to free the allocated controller structure leads to resource exhaustion.",The pcibios_free_controller is executed in the no_bridge error path to prevent memory leaks by releasing the hose structure after unmapping its associated I/O memory regions.,packaged LLM pattern reference
clk_put,ac97_put_disable_clk,ac97_bus_probe,adev,"When ac97_get_enable_clk enables clock on adev, it creates resource leak risk because failure to disable clock leaves hardware in active state.",The ac97_put_disable_clk is executed in error paths after ac97_get_enable_clk succeeds to prevent resource leak by disabling clock before function exit.,packaged LLM pattern reference
clk_put,amba_put_disable_pclk,amba_probe,pcdev,"When amba_get_enable_pclkwo enables the clock for pcdev, it creates resource leak risk because failure to disable the clock on error leaves hardware in an active state.",The amba_put_disable_pclk is executed in the error cleanup path after pcdrv->probe fails to prevent a clock resource leak by disabling and releasing the clock reference.,packaged LLM pattern reference
clk_put,camif_clk_put,s3c_camif_probe,camif,"Rule: When camif_clk_get acquires clock resources for camif, it creates resource leak risk because failure to release the clocks on error paths leads to unreleased hardware resources.",Rule: The camif_clk_put is executed in the error cleanup path (err_clk label) to prevent resource leaks by releasing acquired clock resources before function exit.,packaged LLM pattern reference
clk_put,clk_bulk_put,jh7110_i2s_crg_slave_init,clks,"When clk_bulk_get acquires clock resources for clks, it creates memory/resource leak risk because failure to release the acquired clocks leads to resource exhaustion.",The clk_bulk_put is executed in error paths or cleanup sections to prevent resource leaks by releasing the acquired clks array before function exit.,packaged LLM pattern reference
clk_put,clk_bulk_put,__clk_bulk_get,i,"When clk_get acquires clock resources for clks[i].clk, it creates resource leak risk because failure to release acquired clocks leads to unbalanced reference counts.",The clk_bulk_put is executed in error paths (goto err) to prevent resource leaks by releasing all previously acquired clocks before function exit.,packaged LLM pattern reference
kref_put,free_entry,smq_invalidate_mapping,e,"When get_entry obtains a pointer to e, it creates a memory leak risk because the entry is allocated from a pool and must be returned.",The free_entry is executed after removing e from internal structures to prevent memory leaks by returning the entry to the allocator.,packaged LLM pattern reference
kref_put,free_entry,queue_promotion,e,"When alloc_entry allocates memory for e, it creates memory leak risk because failure to free e after btracker_queue error leaves allocated entry unreachable.",The free_entry is executed when btracker_queue returns error (r != 0) to prevent memory leaks by releasing the reserved cblock entry before function exit.,packaged LLM pattern reference
kref_put,drbd_free_resource,conn_create,resource,"When drbd_create_resource allocates memory for resource, it creates memory leak risk because failure to free on error paths leads to resource exhaustion.",The drbd_free_resource is executed in the fail_resource error path to prevent memory leaks by releasing resource before function exit.,packaged LLM pattern reference
kref_put,free_phys_pg_pack,unmap_device_va,hdev,"When init_phys_pg_pack_from_userptr initializes phys_pg_pack from userptr, it creates memory leak risk because it allocates a new phys_pg_pack object that must be freed.",The free_phys_pg_pack is executed when is_userptr is true to prevent memory leaks by releasing the phys_pg_pack object allocated by init_phys_pg_pack_from_userptr.,packaged LLM pattern reference
kref_put,free_phys_pg_pack,map_device_va,hdev,"When init_phys_pg_pack_from_userptr initializes phys_pg_pack from userptr, it creates memory leak risk because it allocates resources that must be cleaned up after successful mapping.",The free_phys_pg_pack is executed only when is_userptr is true at the end of successful mapping to prevent memory leaks by releasing the temporary phys_pg_pack created for userptr mappings.,packaged LLM pattern reference
