case_id,pattern_id,expected,candidate_function,reference_function,security_sensitive_operation,defensive_operation,source,note,candidate_role,candidate_present,candidate_path,located_comparable_functions,per_pattern_limit
P01,PAT01,bug,ksmbd_crypt_message,libipw_ccmp_decrypt,aead_request_alloc,aead_request_free,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,fs/smb/server/auth.c,15,10
PAT01-R01,PAT01,unknown,test_aead_vs_generic_impl,libipw_ccmp_decrypt,aead_request_alloc,aead_request_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,crypto/testmgr.c,15,10
PAT01-R02,PAT01,unknown,lib80211_ccmp_decrypt,libipw_ccmp_decrypt,aead_request_alloc,aead_request_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/wireless/lib80211_crypt_ccmp.c,15,10
PAT01-R03,PAT01,unknown,do_aead_crypto,libipw_ccmp_decrypt,aead_request_alloc,aead_request_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,security/keys/trusted-keys/trusted_dcp.c,15,10
PAT01-R04,PAT01,unknown,setup_crypto,libipw_ccmp_decrypt,aead_request_alloc,aead_request_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/ceph/messenger_v2.c,15,10
PAT01-R05,PAT01,unknown,llsec_do_decrypt_auth,libipw_ccmp_decrypt,aead_request_alloc,aead_request_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/mac802154/llsec.c,15,10
PAT01-R06,PAT01,unknown,sec_aead_soft_crypto,libipw_ccmp_decrypt,aead_request_alloc,aead_request_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/crypto/hisilicon/sec2/sec_crypto.c,15,10
PAT01-R07,PAT01,unknown,alg_test_aead,libipw_ccmp_decrypt,aead_request_alloc,aead_request_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,crypto/testmgr.c,15,10
PAT01-R08,PAT01,unknown,enc_dec_message,libipw_ccmp_decrypt,aead_request_alloc,aead_request_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/virt/coco/sev-guest/sev-guest.c,15,10
PAT01-R09,PAT01,unknown,rtllib_ccmp_encrypt,libipw_ccmp_decrypt,aead_request_alloc,aead_request_free,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/staging/rtl8192e/rtllib_crypt_ccmp.c,15,10
P02,PAT02,bug,sti_gdp_init,v3d_platform_drm_probe,dma_alloc_wc,dma_free_wc,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,drivers/gpu/drm/sti/sti_gdp.c,39,10
PAT02-R01,PAT02,unknown,acornfb_probe,v3d_platform_drm_probe,dma_alloc_wc,dma_free_wc,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/video/fbdev/acornfb.c,39,10
PAT02-R02,PAT02,unknown,lima_device_init,v3d_platform_drm_probe,dma_alloc_wc,dma_free_wc,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/gpu/drm/lima/lima_device.c,39,10
PAT02-R03,PAT02,unknown,gnttab_dma_alloc_pages,v3d_platform_drm_probe,dma_alloc_wc,dma_free_wc,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/xen/grant-table.c,39,10
PAT02-R04,PAT02,unknown,etnaviv_cmdbuf_suballoc_new,v3d_platform_drm_probe,dma_alloc_wc,dma_free_wc,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/gpu/drm/etnaviv/etnaviv_cmdbuf.c,39,10
PAT02-R05,PAT02,unknown,mipi_dbi_spi_init,v3d_platform_drm_probe,dma_alloc_wc,dma_free_wc,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/gpu/drm/drm_mipi_dbi.c,39,10
PAT02-R06,PAT02,unknown,atmel_lcdfb_probe,v3d_platform_drm_probe,dma_alloc_wc,dma_free_wc,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/video/fbdev/atmel_lcdfb.c,39,10
PAT02-R07,PAT02,unknown,copy_gathers,v3d_platform_drm_probe,dma_alloc_wc,dma_free_wc,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/gpu/host1x/job.c,39,10
PAT02-R08,PAT02,unknown,vsp1_dl_cmd_pool_create,v3d_platform_drm_probe,dma_alloc_wc,dma_free_wc,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/media/platform/renesas/vsp1/vsp1_dl.c,39,10
PAT02-R09,PAT02,unknown,host1x_pushbuffer_init,v3d_platform_drm_probe,dma_alloc_wc,dma_free_wc,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/gpu/host1x/cdma.c,39,10
P03,PAT03,bug,oaktrail_hdmi_setup,cavium_ptp_get,pci_get_device,pci_dev_put,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,drivers/gpu/drm/gma500/oaktrail_hdmi.c,162,10
PAT03-R01,PAT03,unknown,init_dmars,cavium_ptp_get,pci_get_device,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/iommu/intel/iommu.c,162,10
PAT03-R02,PAT03,unknown,ptp_cavium_clock_get,cavium_ptp_get,pci_get_device,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/net/ethernet/cavium/common/cavium_ptp.c,162,10
PAT03-R03,PAT03,unknown,rnm_to_cpt_errata_fixup,cavium_ptp_get,pci_get_device,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/crypto/marvell/octeontx2/otx2_cptpf_ucode.c,162,10
PAT03-R04,PAT03,unknown,ixgbe_io_error_detected,cavium_ptp_get,pci_get_device,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/net/ethernet/intel/ixgbe/ixgbe_main.c,162,10
PAT03-R05,PAT03,unknown,Copyright,cavium_ptp_get,pci_get_device,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/usb/cdns3/cdnsp-pci.c,162,10
PAT03-R06,PAT03,unknown,cavium_ptp_get,cavium_ptp_get,pci_get_device,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/net/ethernet/cavium/common/cavium_ptp.c,162,10
PAT03-R07,PAT03,unknown,init_ichxrom,cavium_ptp_get,pci_get_device,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/mtd/maps/ichxrom.c,162,10
PAT03-R08,PAT03,unknown,pasemi_register_i2c_devices,cavium_ptp_get,pci_get_device,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,arch/powerpc/platforms/pasemi/misc.c,162,10
PAT03-R09,PAT03,unknown,ali_init,cavium_ptp_get,pci_get_device,pci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/ata/pata_ali.c,162,10
P04,PAT04,bug,mtk_pericfg_init,clk_mt8196_apmixed_probe,mtk_alloc_clk_data,mtk_free_clk_data,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,drivers/clk/mediatek/clk-mt7629.c,31,10
PAT04-R01,PAT04,unknown,clk_mt6765_top_probe,clk_mt8196_apmixed_probe,mtk_alloc_clk_data,mtk_free_clk_data,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/mediatek/clk-mt6765.c,31,10
PAT04-R02,PAT04,unknown,clk_mt6779_top_probe,clk_mt8196_apmixed_probe,mtk_alloc_clk_data,mtk_free_clk_data,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/mediatek/clk-mt6779.c,31,10
PAT04-R03,PAT04,unknown,clk_mt6795_infracfg_probe,clk_mt8196_apmixed_probe,mtk_alloc_clk_data,mtk_free_clk_data,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/mediatek/clk-mt6795-infracfg.c,31,10
PAT04-R04,PAT04,unknown,__mtk_clk_simple_probe,clk_mt8196_apmixed_probe,mtk_alloc_clk_data,mtk_free_clk_data,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/mediatek/clk-mtk.c,31,10
PAT04-R05,PAT04,unknown,clk_mt8195_apmixed_probe,clk_mt8196_apmixed_probe,mtk_alloc_clk_data,mtk_free_clk_data,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/mediatek/clk-mt8195-apmixedsys.c,31,10
PAT04-R06,PAT04,unknown,clk_mt6765_apmixed_probe,clk_mt8196_apmixed_probe,mtk_alloc_clk_data,mtk_free_clk_data,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/mediatek/clk-mt6765.c,31,10
PAT04-R07,PAT04,unknown,clk_mt7986_apmixed_probe,clk_mt8196_apmixed_probe,mtk_alloc_clk_data,mtk_free_clk_data,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/mediatek/clk-mt7986-apmixed.c,31,10
PAT04-R08,PAT04,unknown,clk_mt8192_apmixed_probe,clk_mt8196_apmixed_probe,mtk_alloc_clk_data,mtk_free_clk_data,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/mediatek/clk-mt8192-apmixedsys.c,31,10
PAT04-R09,PAT04,unknown,clk_mt6779_apmixed_probe,clk_mt8196_apmixed_probe,mtk_alloc_clk_data,mtk_free_clk_data,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/mediatek/clk-mt6779.c,31,10
P05,PAT05,bug,snow_probe,lpc32xx_clocksource_init,of_clk_get_by_name,clk_put,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,sound/soc/samsung/snow.c,66,10
PAT05-R01,PAT05,unknown,load_one_timing_from_dt,lpc32xx_clocksource_init,of_clk_get_by_name,clk_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/tegra/clk-tegra124-emc.c,66,10
PAT05-R02,PAT05,unknown,samsung_pwm_alloc,lpc32xx_clocksource_init,of_clk_get_by_name,clk_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clocksource/samsung_pwm_timer.c,66,10
PAT05-R03,PAT05,unknown,running,lpc32xx_clocksource_init,of_clk_get_by_name,clk_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/samsung/clk-exynos-arm64.c,66,10
PAT05-R04,PAT05,unknown,tsa_of_parse_tdms,lpc32xx_clocksource_init,of_clk_get_by_name,clk_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/soc/fsl/qe/tsa.c,66,10
PAT05-R05,PAT05,unknown,rk_timer_probe,lpc32xx_clocksource_init,of_clk_get_by_name,clk_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clocksource/timer-rockchip.c,66,10
PAT05-R06,PAT05,unknown,imx6q_obtain_fixed_clk_hw,lpc32xx_clocksource_init,of_clk_get_by_name,clk_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/imx/clk-imx6q.c,66,10
PAT05-R07,PAT05,unknown,tpm_timer_init,lpc32xx_clocksource_init,of_clk_get_by_name,clk_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clocksource/timer-imx-tpm.c,66,10
PAT05-R08,PAT05,unknown,at91_pm_get_eth_clks,lpc32xx_clocksource_init,of_clk_get_by_name,clk_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,arch/arm/mach-at91/pm.c,66,10
PAT05-R09,PAT05,unknown,ingenic_tcu_probe,lpc32xx_clocksource_init,of_clk_get_by_name,clk_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/clk/ingenic/tcu.c,66,10
P06,PAT06,bug,mtk_dp_dt_parse,chipone_dsi_host_attach,of_graph_get_endpoint_by_regs,of_node_put,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,drivers/gpu/drm/mediatek/mtk_dp.c,71,10
PAT06-R01,PAT06,unknown,dsi_probe_of,chipone_dsi_host_attach,of_graph_get_endpoint_by_regs,of_node_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/video/fbdev/omap2/omapfb/dss/dsi.c,71,10
PAT06-R02,PAT06,unknown,anx7625_parse_dt,chipone_dsi_host_attach,of_graph_get_endpoint_by_regs,of_node_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/gpu/drm/bridge/analogix/anx7625.c,71,10
PAT06-R03,PAT06,unknown,tc358743_probe_of,chipone_dsi_host_attach,of_graph_get_endpoint_by_regs,of_node_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/media/i2c/tc358743.c,71,10
PAT06-R04,PAT06,unknown,tc_mipi_dsi_host_attach,chipone_dsi_host_attach,of_graph_get_endpoint_by_regs,of_node_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/gpu/drm/bridge/tc358767.c,71,10
PAT06-R05,PAT06,unknown,ov5647_parse_dt,chipone_dsi_host_attach,of_graph_get_endpoint_by_regs,of_node_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/media/i2c/ov5647.c,71,10
PAT06-R06,PAT06,unknown,mipid02_parse_rx_ep,chipone_dsi_host_attach,of_graph_get_endpoint_by_regs,of_node_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/media/i2c/st-mipid02.c,71,10
PAT06-R07,PAT06,unknown,dp_panel_link_frequencies,chipone_dsi_host_attach,of_graph_get_endpoint_by_regs,of_node_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/gpu/drm/msm/dp/dp_panel.c,71,10
PAT06-R08,PAT06,unknown,hdmi_bridge_init,chipone_dsi_host_attach,of_graph_get_endpoint_by_regs,of_node_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/gpu/drm/exynos/exynos_hdmi.c,71,10
PAT06-R09,PAT06,unknown,mt9p031_get_pdata,chipone_dsi_host_attach,of_graph_get_endpoint_by_regs,of_node_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/media/i2c/mt9p031.c,71,10
P07,PAT07,bug,cs35l56_hda_read_acpi,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,sound/pci/hda/cs35l56_hda.c,32,10
PAT07-R01,PAT07,unknown,gmin_i2c_dev_exists,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/staging/media/atomisp/pci/atomisp_gmin_platform.c,32,10
PAT07-R02,PAT07,unknown,snd_byt_cht_cx2072x_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/intel/boards/bytcht_cx2072x.c,32,10
PAT07-R03,PAT07,unknown,get_serdev_controller,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/platform/x86/serdev_helpers.h,32,10
PAT07-R04,PAT07,unknown,cs35l41_compute_codec_conf,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/intel/boards/sof_cirrus_common.c,32,10
PAT07-R05,PAT07,unknown,snd_byt_rt5651_mc_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/intel/boards/bytcr_rt5651.c,32,10
PAT07-R06,PAT07,unknown,bytcht_da7213_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/intel/boards/bytcht_da7213.c,32,10
PAT07-R07,PAT07,unknown,st_es8336_late_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/amd/acp-es8336.c,32,10
PAT07-R08,PAT07,unknown,axp288_extcon_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,drivers/extcon/extcon-axp288.c,32,10
PAT07-R09,PAT07,unknown,snd_byt_wm5102_mc_probe,cs35l56_hda_read_acpi,acpi_dev_get_first_match_dev,acpi_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,sound/soc/intel/boards/bytcr_wm5102.c,32,10
P08,PAT08,bug,iso_listen_bis,iso_listen_bis,hci_get_route,hci_dev_put,confirmed_bugs.csv,confirmed missing-defense case from recorded audit,confirmed_bug,yes,net/bluetooth/iso.c,10,10
PAT08-R01,PAT08,unknown,sco_sock_setsockopt,iso_listen_bis,hci_get_route,hci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/bluetooth/sco.c,10,10
PAT08-R02,PAT08,unknown,iso_conn_big_sync,iso_listen_bis,hci_get_route,hci_dev_put,deterministic_random_comparable,deterministic random comparable function; no expected label,random_comparable,yes,net/bluetooth/iso.c,10,10
